name
Beskrivning av Foundation & Principles 
VPDS Utbildning -Film
VPDS Utbildning - Intro kurs
Product development methods, MLindh
Utbilda nya lärare i VPDS-Intro kurs
Uppdatera VPDS Pocket Card från 1.1 till 1.2.
Townhall autumn 2016-concept-content-execution
SW Development System based on agile principles
PLM Strategy
Systems Engineering Program management
Analysera våra projekt - definiera ett antal nyckeltal
Strategi Collaboration - verktygsperspektiv
Update request to move Program finance decision from PA to PC
Utred potential att integrera learning tasks i FLOW med Wiki Design Guidelines
How to pilot KBPD in Product Projects
Genomförande av Volvo Enterprice Search
PD Process Audit activities
Coaching av GAD (KERS Gen2) projektet som testar RLC
Pilot AD
Develop agile/plan-driven assumption model
PD China Transformation
Provplanering i LEQM
Jobbrelaterad stress
Close knowledge gaps in early phase
Tema Learning. Introduktion av Lärande Organisation
